+=================================================================================================+
| HIGHEST LOSERS (52-WEEK METRIC)                                                                 |
| Date: 20260908 | Processed entries: 486                                                         |
+=================================================================================================+

+----------+------------------------------------------+--------------+--------------+--------------+--------------+
| Symbol   | Name                                     | Price        | 52W Low      | 52W High     | Distance     |
+----------+------------------------------------------+--------------+--------------+--------------+--------------+
| PARA     | Paramount Global                         |         1.01 |         0.99 |        79.60 |       98.73% |
| FMC      | FMC Corporation                          |        12.97 |         9.95 |        38.68 |       66.47% |
| CSGP     | CoStar Group                             |        30.91 |        25.89 |        91.01 |       66.04% |
| PODD     | Insulet Corporation                      |       147.48 |       126.40 |       354.88 |       58.44% |
| BSX      | Boston Scientific                        |        47.80 |        42.20 |       109.50 |       56.35% |
| BLDR     | Builders FirstSource                     |        65.79 |        62.31 |       149.35 |       55.95% |
| LULU     | Lululemon Athletica                      |       100.61 |        97.99 |       225.98 |       55.48% |
| ORCL     | Oracle Corporation                       |       158.78 |       114.50 |       345.72 |       54.07% |
| FICO     | Fair Isaac                               |       932.26 |       870.01 |      1998.01 |       53.34% |
| INTU     | Intuit                                   |       332.70 |       252.84 |       705.08 |       52.81% |
| ENPH     | Enphase Energy                           |        36.37 |        25.78 |        73.74 |       50.68% |
| ZTS      | Zoetis                                   |        75.81 |        71.00 |       152.97 |       50.44% |
| NKE      | Nike Inc.                                |        38.40 |        37.95 |        76.97 |       50.11% |
| EPAM     | EPAM Systems                             |       117.04 |        73.06 |       222.53 |       47.40% |
| AMTM     | Amentum                                  |        20.06 |        19.80 |        38.11 |       47.36% |
| PNR      | Pentair                                  |        60.21 |        57.60 |       113.95 |       47.16% |
| CHTR     | Charter Communications                   |       151.99 |       111.55 |       285.82 |       46.82% |
| APTV     | Aptiv                                    |        47.95 |        44.52 |        88.93 |       46.08% |
| ROL      | Rollins Inc.                             |        35.86 |        35.25 |        66.14 |       45.78% |
| POOL     | Pool Corporation                         |       185.22 |       172.68 |       336.15 |       44.90% |
| ON       | ON Semiconductor                         |        74.38 |        44.56 |       134.92 |       44.87% |
| GLW      | Corning Inc.                             |       154.30 |        71.75 |       271.78 |       43.23% |
| ALB      | Albemarle Corporation                    |       126.28 |        71.25 |       221.00 |       42.86% |
| NCLH     | Norwegian Cruise Line Holdings           |        15.57 |        14.53 |        27.18 |       42.72% |
| TSCO     | Tractor Supply                           |        34.99 |        28.36 |        60.86 |       42.51% |
| WDC      | Western Digital                          |       467.46 |        91.65 |       799.87 |       41.56% |
| LEN      | Lennar                                   |        83.58 |        79.83 |       142.61 |       41.39% |
| FIS      | Fidelity National Information Services   |        41.89 |        37.42 |        70.27 |       40.39% |
| ARE      | Alexandria Real Estate Equities          |        52.65 |        39.41 |        88.24 |       40.33% |
