+================================================================+
| TOP MARKET CAP COMPANIES                                       |
+================================================================+
| Date: 20260909 | Processed entries: 485                        |
+--------------------+----------+--------------------------------+
| Market Cap         | Symbol   | Company                        |
+--------------------+----------+--------------------------------+
|  5,450,701,996,032 | NVDA     | Nvidia                         |
|  4,614,971,719,680 | AAPL     | Apple Inc.                     |
|  4,138,120,773,632 | GOOGL    | Alphabet Inc. (Class A)        |
|  4,101,675,679,744 | GOOG     | Alphabet Inc. (Class C)        |
|  3,667,848,331,264 | MSFT     | Microsoft                      |
|  2,771,758,874,624 | AMZN     | Amazon                         |
|  1,753,453,821,952 | AVGO     | Broadcom                       |
|  1,562,844,069,888 | META     | Meta Platforms                 |
|  1,454,065,451,008 | TSLA     | Tesla Inc.                     |
|  1,129,686,761,472 | MU       | Micron Technology              |
|  1,002,237,067,264 | LLY      | Lilly (Eli)                    |
|    939,695,472,640 | JPM      | JPMorgan Chase                 |
|    843,954,323,456 | WMT      | Walmart                        |
|    825,607,913,472 | AMD      | Advanced Micro Devices         |
|    688,268,312,576 | V        | Visa Inc.                      |
|    660,619,788,288 | XOM      | ExxonMobil                     |
|    648,551,858,176 | JNJ      | Johnson & Johnson              |
|    552,239,431,680 | INTC     | Intel                          |
|    500,105,314,304 | MA       | Mastercard                     |
|    468,134,166,528 | ORCL     | Oracle Corporation             |
|    439,623,450,624 | ABBV     | AbbVie                         |
|    436,277,575,680 | BAC      | Bank of America                |
|    430,412,201,984 | CSCO     | Cisco                          |
|    411,544,387,584 | CVX      | Chevron Corporation            |
|    409,240,862,720 | PLTR     | Palantir Technologies          |
|    403,645,530,112 | COST     | Costco                         |
|    400,948,264,960 | LRCX     | Lam Research                   |
|    380,173,221,888 | KO       | Coca-Cola Company (The)        |
|    378,073,382,912 | CAT      | Caterpillar Inc.               |
|    375,204,937,728 | AMAT     | Applied Materials              |
|    366,276,313,088 | MRK      | Merck & Co.                    |
|    359,791,919,104 | UNH      | UnitedHealth Group             |
|    347,490,058,240 | GE       | GE Aerospace                   |
|    344,962,498,560 | DELL     | Dell Technologies              |
|    339,619,250,176 | MS       | Morgan Stanley                 |
