+====================================================================+
| HIGHEST WINNERS (52-WEEK METRIC)                                   |
+====================================================================+
| Date: 10/09/2026 | Processed entries: 485                          |
+----------+------------------------+----------+----------+----------+
| Symbol   | Company                | Price    | 52W High | Distance |
+----------+------------------------+----------+----------+----------+
| VLO      | Valero Energy          |   388.95 |   389.18 |    0.06% |
| EA       | Electronic Arts        |   209.70 |   210.20 |    0.24% |
| TECH     | Bio-Techne             |    72.25 |    72.62 |    0.51% |
| MPC      | Marathon Petroleum     |   399.44 |   401.85 |    0.60% |
| CVX      | Chevron Corporation    |   213.81 |   215.28 |    0.68% |
| AVB      | AvalonBay Communities  |   184.06 |   185.62 |    0.84% |
| COP      | ConocoPhillips         |   136.53 |   137.87 |    0.97% |
| PSX      | Phillips 66            |   260.78 |   263.66 |    1.09% |
| HPQ      | HP Inc.                |    32.39 |    32.92 |    1.62% |
| APA      | APA Corporation        |    44.84 |    45.66 |    1.80% |
| STT      | State Street Corpor... |   191.89 |   195.93 |    2.06% |
| EXPD     | Expeditors Internat... |   188.31 |   192.28 |    2.06% |
| ADM      | Archer Daniels Midland |    86.55 |    88.46 |    2.16% |
| CF       | CF Industries          |   138.11 |   141.96 |    2.71% |
| JPM      | JPMorgan Chase         |   354.71 |   366.50 |    3.22% |
| BBY      | Best Buy               |    88.03 |    91.27 |    3.55% |
| AMP      | Ameriprise Financial   |   551.88 |   572.56 |    3.61% |
| AWK      | American Water Works   |   140.33 |   145.64 |    3.65% |
| VZ       | Verizon                |    49.74 |    51.68 |    3.75% |
| QRVO     | Qorvo                  |   105.24 |   109.49 |    3.88% |
| CZR      | Caesars Entertainment  |    29.67 |    30.88 |    3.92% |
| BAC      | Bank of America        |    62.67 |    65.23 |    3.92% |
| RJF      | Raymond James Finan... |   175.47 |   182.73 |    3.97% |
| OKE      | ONEOK                  |    95.82 |    99.85 |    4.04% |
| DE       | Deere & Company        |   677.21 |   705.88 |    4.06% |
| EOG      | EOG Resources          |   147.01 |   153.67 |    4.33% |
| SOLV     | Solventum              |    90.03 |    94.16 |    4.39% |
| HSIC     | Henry Schein           |    87.97 |    92.18 |    4.57% |
| IVZ      | Invesco                |    32.09 |    33.66 |    4.66% |
| RSG      | Republic Services      |   222.47 |   233.42 |    4.69% |
| MTCH     | Match Group            |    41.43 |    43.47 |    4.69% |
| V        | Visa Inc.              |   367.39 |   385.57 |    4.72% |
| DGX      | Quest Diagnostics      |   235.46 |   247.19 |    4.75% |
| NEM      | Newmont                |   128.71 |   135.29 |    4.86% |
| PFE      | Pfizer                 |    27.78 |    29.21 |    4.90% |
| DELL     | Dell Technologies      |   535.25 |   562.99 |    4.93% |
| INCY     | Incyte                 |   126.01 |   132.60 |    4.97% |
| JNJ      | Johnson & Johnson      |   267.08 |   281.07 |    4.98% |
| FCX      | Freeport-McMoRan       |    76.23 |    80.24 |    5.00% |
| CPAY     | Corpay                 |   406.09 |   427.46 |    5.00% |
| WAT      | Waters Corporation     |   404.81 |   426.22 |    5.02% |
| KDP      | Keurig Dr Pepper       |    32.08 |    33.82 |    5.14% |
| MET      | MetLife                |    95.69 |   100.93 |    5.19% |
| KO       | Coca-Cola Company (... |    87.55 |    92.49 |    5.34% |
| TRGP     | Targa Resources        |   291.38 |   307.94 |    5.38% |
| NVDA     | Nvidia                 |   223.67 |   236.54 |    5.44% |
| IQV      | IQVIA                  |   256.98 |   271.80 |    5.45% |
| IFF      | International Flavo... |    84.31 |    89.32 |    5.61% |
| SLB      | Schlumberger           |    57.05 |    60.46 |    5.64% |
| NTRS     | Northern Trust         |   184.69 |   195.78 |    5.66% |
| MA       | Mastercard             |   567.50 |   601.62 |    5.67% |
| PFG      | Principal Financial... |   114.02 |   121.18 |    5.91% |
| BEN      | Franklin Resources     |    34.12 |    36.28 |    5.95% |
| GEN      | Gen Digital            |    29.76 |    31.65 |    5.97% |
| MRK      | Merck & Co.            |   147.53 |   156.92 |    5.98% |
| USB      | U.S. Bancorp           |    62.11 |    66.08 |    6.01% |
| REGN     | Regeneron Pharmaceu... |   807.65 |   859.34 |    6.02% |
| LH       | LabCorp                |   321.10 |   341.80 |    6.06% |
| WMB      | Williams Companies     |    75.15 |    80.08 |    6.16% |
| BMY      | Bristol Myers Squibb   |    64.41 |    68.64 |    6.16% |
| ABBV     | AbbVie                 |   250.91 |   267.47 |    6.19% |
| APD      | Air Products           |   295.24 |   314.87 |    6.23% |
| MDLZ     | Mondelez International |    62.42 |    66.65 |    6.35% |
| TMO      | Thermo Fisher Scien... |   605.69 |   647.00 |    6.38% |
| TFX      | Teleflex               |   135.72 |   145.00 |    6.40% |
| NWSA     | News Corp (Class A)    |    29.61 |    31.66 |    6.48% |
| HIG      | Hartford (The)         |   136.56 |   146.07 |    6.51% |
| FANG     | Diamondback Energy     |   202.63 |   216.90 |    6.58% |
| BIIB     | Biogen                 |   210.73 |   225.80 |    6.67% |
| HUM      | Humana                 |   400.02 |   428.88 |    6.73% |
| CTVA     | Corteva                |    84.75 |    90.97 |    6.84% |
| C        | Citigroup              |   137.80 |   147.96 |    6.87% |
| BDX      | Becton Dickinson       |   179.80 |   193.07 |    6.87% |
| RVTY     | Revvity                |   123.85 |   133.00 |    6.88% |
| XOM      | ExxonMobil             |   164.23 |   176.41 |    6.90% |
| WBD      | Warner Bros. Discovery |    27.91 |    30.00 |    6.97% |
| SCHW     | Charles Schwab Corp... |   106.54 |   114.53 |    6.98% |
| FFIV     | F5 Inc.                |   404.63 |   435.00 |    6.98% |
| VRTX     | Vertex Pharmaceuticals |   521.12 |   560.25 |    6.98% |
| MTB      | M&T Bank               |   238.00 |   255.95 |    7.01% |
| PNC      | PNC Financial Services |   240.69 |   258.96 |    7.06% |
| MSI      | Motorola Solutions     |   459.89 |   494.85 |    7.06% |
| DVN      | Devon Energy           |    48.98 |    52.71 |    7.08% |
| CAH      | Cardinal Health        |   240.00 |   258.30 |    7.08% |
| MS       | Morgan Stanley         |   215.35 |   232.25 |    7.28% |
| GILD     | Gilead Sciences        |   145.65 |   157.29 |    7.40% |
| NDSN     | Nordson Corporation    |   313.94 |   339.12 |    7.43% |
| NDAQ     | Nasdaq Inc.            |    94.22 |   101.79 |    7.44% |
| NWS      | News Corp (Class B)    |    33.08 |    35.76 |    7.49% |
| ED       | Consolidated Edison    |   107.49 |   116.23 |    7.52% |
| WELL     | Welltower              |   235.90 |   255.20 |    7.56% |
| EQIX     | Equinix                |  1043.06 |  1128.68 |    7.59% |
| CNC      | Centene Corporation    |    64.06 |    69.36 |    7.64% |
| KMX      | CarMax                 |    60.29 |    65.28 |    7.64% |
| IEX      | IDEX Corporation       |   225.10 |   243.80 |    7.67% |
