+================================================================+
| TOP MARKET CAP COMPANIES                                       |
+================================================================+
| Date: 10/09/2026 | Processed entries: 485                      |
+--------------------+----------+--------------------------------+
| Market Cap         | Symbol   | Company                        |
+--------------------+----------+--------------------------------+
|  5,400,959,123,456 | NVDA     | Nvidia                         |
|  4,602,128,760,832 | AAPL     | Apple Inc.                     |
|  4,043,827,838,976 | GOOGL    | Alphabet Inc. (Class A)        |
|  4,016,066,265,088 | GOOG     | Alphabet Inc. (Class C)        |
|  3,650,769,387,520 | MSFT     | Microsoft                      |
|  2,722,465,316,864 | AMZN     | Amazon                         |
|  1,733,567,184,896 | AVGO     | Broadcom                       |
|  1,665,279,328,256 | META     | Meta Platforms                 |
|  1,452,683,034,624 | TSLA     | Tesla Inc.                     |
|  1,160,756,461,568 | MU       | Micron Technology              |
|  1,002,504,519,680 | LLY      | Lilly (Eli)                    |
|    942,885,240,832 | JPM      | JPMorgan Chase                 |
|    850,674,515,968 | AMD      | Advanced Micro Devices         |
|    842,203,529,216 | WMT      | Walmart                        |
|    685,934,510,080 | V        | Visa Inc.                      |
|    675,299,262,464 | XOM      | ExxonMobil                     |
|    643,635,675,136 | JNJ      | Johnson & Johnson              |
|    561,595,809,792 | INTC     | Intel                          |
|    497,135,616,000 | MA       | Mastercard                     |
|    465,570,562,048 | ORCL     | Oracle Corporation             |
|    443,387,412,480 | ABBV     | AbbVie                         |
|    438,235,529,216 | BAC      | Bank of America                |
|    431,437,283,328 | CSCO     | Cisco                          |
|    419,410,411,520 | CVX      | Chevron Corporation            |
|    407,390,486,528 | PLTR     | Palantir Technologies          |
|    400,283,959,296 | COST     | Costco                         |
|    395,217,207,296 | LRCX     | Lam Research                   |
|    376,688,181,248 | KO       | Coca-Cola Company (The)        |
|    374,892,429,312 | CAT      | Caterpillar Inc.               |
|    372,078,149,632 | AMAT     | Applied Materials              |
|    363,981,832,192 | MRK      | Merck & Co.                    |
|    352,808,632,320 | UNH      | UnitedHealth Group             |
|    340,318,781,440 | DELL     | Dell Technologies              |
|    338,221,465,600 | MS       | Morgan Stanley                 |
|    337,643,601,920 | GE       | GE Aerospace                   |
|    331,305,975,808 | PG       | Procter & Gamble               |
|    316,584,329,216 | NFLX     | Netflix                        |
|    309,732,737,024 | HD       | Home Depot (The)               |
|    299,551,326,208 | GS       | Goldman Sachs                  |
|    289,450,098,688 | PM       | Philip Morris International    |
|    273,106,501,632 | PANW     | Palo Alto Networks             |
|    271,161,999,360 | WFC      | Wells Fargo                    |
|    266,249,617,408 | RTX      | RTX Corporation                |
|    253,293,887,488 | GEV      | GE Vernova                     |
|    243,328,073,728 | ANET     | Arista Networks                |
|    238,980,481,024 | KLAC     | KLA Corporation                |
|    238,896,463,872 | TXN      | Texas Instruments              |
|    231,150,796,800 | C        | Citigroup                      |
|    226,055,733,248 | IBM      | IBM                            |
|    223,952,240,640 | TMO      | Thermo Fisher Scientific       |
|    217,314,689,024 | AXP      | American Express               |
|    215,116,382,208 | LIN      | Linde plc                      |
|    212,773,666,816 | CRWD     | CrowdStrike                    |
|    211,533,070,336 | AMGN     | Amgen                          |
|    206,658,535,424 | VZ       | Verizon                        |
|    201,452,011,520 | STX      | Seagate Technology             |
|    200,943,681,536 | CRM      | Salesforce                     |
|    200,581,726,208 | APH      | Amphenol                       |
|    190,227,578,880 | TMUS     | T-Mobile US                    |
|    188,405,858,304 | QCOM     | Qualcomm                       |
|    186,718,535,680 | PEP      | PepsiCo                        |
|    184,243,421,184 | SCHW     | Charles Schwab Corporation     |
|    182,593,028,096 | DE       | Deere & Company                |
|    182,088,253,440 | ABT      | Abbott Laboratories            |
|    180,599,472,128 | GILD     | Gilead Sciences                |
|    179,886,243,840 | DIS      | Walt Disney Company (The)      |
|    179,372,965,888 | MCD      | McDonald's                     |
|    176,900,325,376 | ADI      | Analog Devices                 |
|    174,179,352,576 | BLK      | BlackRock                      |
|    173,881,671,680 | WDC      | Western Digital                |
|    172,406,112,256 | NEE      | NextEra Energy                 |
|    172,337,496,064 | T        | AT&T                           |
|    169,982,935,040 | WELL     | Welltower                      |
|    169,157,050,368 | UNP      | Union Pacific Corporation      |
|    164,018,601,984 | COP      | ConocoPhillips                 |
|    163,148,185,600 | BA       | Boeing                         |
|    161,271,447,552 | ETN      | Eaton Corporation              |
|    158,336,942,080 | PFE      | Pfizer                         |
|    154,277,101,568 | BX       | Blackstone Inc.                |
|    145,185,177,600 | UBER     | Uber                           |
|    145,109,483,520 | GLW      | Corning Inc.                   |
|    144,006,692,864 | DHR      | Danaher Corporation            |
|    138,728,718,336 | TJX      | TJX Companies                  |
|    135,620,739,072 | NEM      | Newmont                        |
|    135,549,648,896 | NOW      | ServiceNow                     |
|    132,083,556,352 | VRTX     | Vertex Pharmaceuticals         |
|    131,873,923,072 | PLD      | Prologis                       |
|    131,571,253,248 | BMY      | Bristol Myers Squibb           |
|    130,311,913,472 | BKNG     | Booking Holdings               |
|    130,253,750,272 | CB       | Chubb Limited                  |
|    129,359,421,440 | COF      | Capital One                    |
|    126,558,134,272 | ISRG     | Intuitive Surgical             |
|    125,227,057,152 | PGR      | Progressive Corporation        |
|    123,332,526,080 | SPGI     | S&P Global                     |
|    121,988,186,112 | CVS      | CVS Health                     |
|    121,040,519,168 | LMT      | Lockheed Martin                |
|    119,678,287,872 | PH       | Parker Hannifin                |
|    117,539,979,264 | MDT      | Medtronic                      |
|    115,354,460,160 | FTNT     | Fortinet                       |
|    114,045,599,744 | SBUX     | Starbucks                      |
|    113,358,913,536 | MO       | Altria                         |
|    112,172,646,400 | MPC      | Marathon Petroleum             |
|    111,989,391,360 | VLO      | Valero Energy                  |
|    111,425,331,200 | LOW      | Lowe's                         |
|    109,467,623,424 | FCX      | Freeport-McMoRan               |
|    107,579,416,576 | ACN      | Accenture                      |
|    105,632,186,368 | SYK      | Stryker Corporation            |
|    105,362,030,592 | ADP      | Automatic Data Processing      |
|    104,555,831,296 | PSX      | Phillips 66                    |
|    104,132,714,496 | CEG      | Constellation Energy           |
|    103,961,288,704 | MCK      | McKesson Corporation           |
|    102,920,495,104 | EQIX     | Equinix                        |
|    101,623,062,528 | SO       | Southern Company               |
|    101,572,018,176 | ABNB     | Airbnb                         |
|    101,306,851,328 | ADBE     | Adobe Inc.                     |
|     98,776,424,448 | CME      | CME Group                      |
|     97,727,700,992 | TT       | Trane Technologies             |
|     96,770,580,480 | USB      | U.S. Bancorp                   |
|     96,136,536,064 | KKR      | KKR                            |
|     96,021,757,952 | PNC      | PNC Financial Services         |
|     95,417,409,536 | GD       | General Dynamics               |
|     94,262,296,576 | PWR      | Quanta Services                |
|     93,899,538,432 | DUK      | Duke Energy                    |
|     92,769,181,696 | HWM      | Howmet Aerospace               |
|     91,921,039,360 | WMB      | Williams Companies             |
|     91,326,824,448 | HCA      | HCA Healthcare                 |
|     89,604,210,688 | CSX      | CSX Corporation                |
