+====================================================================+
| HIGHEST WINNERS (52-WEEK METRIC)                                   |
+====================================================================+
| Date: 11/09/2026 | Processed entries: 485                          |
+----------+------------------------+----------+----------+----------+
| Symbol   | Company                | Price    | 52W High | Distance |
+----------+------------------------+----------+----------+----------+
| EA       | Electronic Arts        |   209.70 |   210.20 |    0.24% |
| TECH     | Bio-Techne             |    72.08 |    72.62 |    0.74% |
| AVB      | AvalonBay Communities  |   184.06 |   185.62 |    0.84% |
| COP      | ConocoPhillips         |   137.04 |   138.76 |    1.24% |
| HPQ      | HP Inc.                |    32.73 |    33.16 |    1.31% |
| EXPD     | Expeditors Internat... |   189.32 |   192.28 |    1.54% |
| QRVO     | Qorvo                  |   112.36 |   114.28 |    1.68% |
| PSX      | Phillips 66            |   258.51 |   263.76 |    1.99% |
| VLO      | Valero Energy          |   385.43 |   393.34 |    2.01% |
| ADM      | Archer Daniels Midland |    86.91 |    88.75 |    2.07% |
| CVX      | Chevron Corporation    |   212.76 |   217.40 |    2.13% |
| STT      | State Street Corpor... |   191.30 |   195.93 |    2.36% |
| MPC      | Marathon Petroleum     |   392.42 |   405.13 |    3.14% |
| VZ       | Verizon                |    49.97 |    51.68 |    3.31% |
| AMP      | Ameriprise Financial   |   553.53 |   572.56 |    3.32% |
| APA      | APA Corporation        |    44.53 |    46.10 |    3.41% |
| BBY      | Best Buy               |    88.09 |    91.27 |    3.48% |
| JPM      | JPMorgan Chase         |   353.56 |   366.50 |    3.53% |
| MTCH     | Match Group            |    41.82 |    43.47 |    3.80% |
| DE       | Deere & Company        |   677.94 |   705.88 |    3.96% |
| AWK      | American Water Works   |   139.84 |   145.64 |    3.98% |
| CZR      | Caesars Entertainment  |    29.65 |    30.88 |    3.98% |
| EOG      | EOG Resources          |   147.46 |   153.67 |    4.04% |
| BAC      | Bank of America        |    62.56 |    65.23 |    4.09% |
| MET      | MetLife                |    96.78 |   100.93 |    4.11% |
| OKE      | ONEOK                  |    95.72 |    99.85 |    4.14% |
| NTRS     | Northern Trust         |   187.19 |   195.78 |    4.39% |
| CPAY     | Corpay                 |   408.47 |   427.46 |    4.44% |
| ELV      | Elevance Health        |   416.54 |   436.24 |    4.52% |
| BIIB     | Biogen                 |   215.43 |   225.80 |    4.59% |
| ABBV     | AbbVie                 |   255.00 |   267.47 |    4.66% |
| V        | Visa Inc.              |   367.21 |   385.57 |    4.76% |
| CF       | CF Industries          |   135.11 |   141.96 |    4.83% |
| RJF      | Raymond James Finan... |   173.53 |   182.73 |    5.03% |
| KO       | Coca-Cola Company (... |    87.83 |    92.49 |    5.04% |
| DVN      | Devon Energy           |    50.02 |    52.71 |    5.10% |
| PFG      | Principal Financial... |   114.96 |   121.18 |    5.13% |
| IVZ      | Invesco                |    31.93 |    33.66 |    5.14% |
| TRGP     | Targa Resources        |   291.91 |   307.94 |    5.21% |
| AAPL     | Apple Inc.             |   326.57 |   344.57 |    5.22% |
| JNJ      | Johnson & Johnson      |   266.35 |   281.07 |    5.24% |
| RSG      | Republic Services      |   221.08 |   233.42 |    5.29% |
| HSIC     | Henry Schein           |    87.30 |    92.18 |    5.29% |
| FANG     | Diamondback Energy     |   205.39 |   216.90 |    5.31% |
| GEN      | Gen Digital            |    29.96 |    31.65 |    5.32% |
| IQV      | IQVIA                  |   257.30 |   271.80 |    5.33% |
| PFE      | Pfizer                 |    27.65 |    29.21 |    5.34% |
| USB      | U.S. Bancorp           |    62.41 |    66.08 |    5.55% |
| CNC      | Centene Corporation    |    65.40 |    69.36 |    5.71% |
| WAT      | Waters Corporation     |   401.64 |   426.22 |    5.77% |
| IFF      | International Flavo... |    84.05 |    89.32 |    5.90% |
| WBD      | Warner Bros. Discovery |    28.20 |    30.00 |    6.00% |
| MA       | Mastercard             |   565.37 |   601.62 |    6.03% |
| PNC      | PNC Financial Services |   242.98 |   258.96 |    6.17% |
| GM       | General Motors         |    86.12 |    91.85 |    6.24% |
| MSI      | Motorola Solutions     |   463.88 |   494.85 |    6.26% |
| MDLZ     | Mondelez International |    62.47 |    66.65 |    6.27% |
| SCHW     | Charles Schwab Corp... |   107.33 |   114.53 |    6.29% |
| XOM      | ExxonMobil             |   165.23 |   176.41 |    6.34% |
| HIG      | Hartford (The)         |   136.80 |   146.07 |    6.35% |
| C        | Citigroup              |   138.50 |   147.96 |    6.39% |
| DGX      | Quest Diagnostics      |   231.14 |   247.19 |    6.49% |
| HUM      | Humana                 |   400.73 |   428.88 |    6.56% |
| MTB      | M&T Bank               |   239.02 |   255.95 |    6.61% |
| APD      | Air Products           |   293.65 |   314.87 |    6.74% |
| NEM      | Newmont                |   126.14 |   135.29 |    6.76% |
| TMO      | Thermo Fisher Scien... |   603.18 |   647.00 |    6.77% |
| SOLV     | Solventum              |    87.65 |    94.16 |    6.91% |
| KDP      | Keurig Dr Pepper       |    31.46 |    33.82 |    6.98% |
| INCY     | Incyte                 |   123.28 |   132.60 |    7.03% |
| CTVA     | Corteva                |    84.49 |    90.97 |    7.12% |
| BMY      | Bristol Myers Squibb   |    63.75 |    68.64 |    7.12% |
| NWSA     | News Corp (Class A)    |    29.38 |    31.66 |    7.20% |
| BEN      | Franklin Resources     |    33.66 |    36.28 |    7.22% |
| PRU      | Prudential Financial   |   118.48 |   127.72 |    7.23% |
| KMX      | CarMax                 |    60.52 |    65.28 |    7.29% |
| SLB      | Schlumberger           |    56.01 |    60.46 |    7.36% |
| FAST     | Fastenal               |    49.01 |    52.92 |    7.39% |
| CB       | Chubb Limited          |   338.67 |   365.91 |    7.44% |
| EG       | Everest Group          |   371.03 |   401.07 |    7.49% |
| AIZ      | Assurant               |   280.97 |   303.94 |    7.56% |
| SWKS     | Skyworks Solutions     |    84.03 |    90.90 |    7.56% |
| VRSN     | Verisign               |   288.85 |   312.48 |    7.56% |
| CFG      | Citizens Financial ... |    69.63 |    75.33 |    7.57% |
| BG       | Bunge Global           |   124.59 |   134.87 |    7.62% |
| WELL     | Welltower              |   235.71 |   255.20 |    7.64% |
| GPN      | Global Payments        |    88.55 |    95.88 |    7.64% |
| NVDA     | Nvidia                 |   218.36 |   236.54 |    7.69% |
| REGN     | Regeneron Pharmaceu... |   793.26 |   859.34 |    7.69% |
| RF       | Regions Financial C... |    29.95 |    32.47 |    7.76% |
| MRK      | Merck & Co.            |   144.71 |   156.92 |    7.78% |
| TRV      | Travelers Companies... |   367.56 |   398.70 |    7.81% |
| GILD     | Gilead Sciences        |   144.81 |   157.29 |    7.93% |
| VRTX     | Vertex Pharmaceuticals |   514.56 |   560.25 |    8.16% |
| ED       | Consolidated Edison    |   106.73 |   116.23 |    8.17% |
| EVRG     | Evergy                 |    81.36 |    88.62 |    8.19% |
| NWS      | News Corp (Class B)    |    32.78 |    35.76 |    8.33% |
| FFIV     | F5 Inc.                |   398.48 |   435.00 |    8.40% |
| MS       | Morgan Stanley         |   212.66 |   232.25 |    8.43% |
| WFC      | Wells Fargo            |    89.45 |    97.76 |    8.50% |
| CSX      | CSX Corporation        |    49.04 |    53.60 |    8.51% |
| FITB     | Fifth Third Bancorp    |    54.43 |    59.50 |    8.52% |
| WAB      | Wabtec                 |   280.27 |   306.64 |    8.60% |
| BDX      | Becton Dickinson       |   176.42 |   193.07 |    8.62% |
| CAH      | Cardinal Health        |   236.02 |   258.30 |    8.63% |
| FTNT     | Fortinet               |   158.85 |   173.89 |    8.65% |
| PM       | Philip Morris Inter... |   189.77 |   207.76 |    8.66% |
| DXCM     | Dexcom                 |    84.51 |    92.59 |    8.73% |
| TGT      | Target Corporation     |   155.73 |   170.75 |    8.80% |
| NUE      | Nucor                  |   255.46 |   280.11 |    8.80% |
| TFX      | Teleflex               |   132.00 |   145.00 |    8.97% |
| WMB      | Williams Companies     |    72.82 |    80.08 |    9.07% |
| RVTY     | Revvity                |   120.94 |   133.00 |    9.07% |
| JCI      | Johnson Controls       |   142.81 |   157.06 |    9.07% |
| IEX      | IDEX Corporation       |   221.46 |   243.80 |    9.16% |
| ALL      | Allstate               |   251.79 |   277.22 |    9.17% |
| EQIX     | Equinix                |  1023.81 |  1128.68 |    9.29% |
| OXY      | Occidental Petroleum   |    61.16 |    67.45 |    9.33% |
| NDSN     | Nordson Corporation    |   307.45 |   339.12 |    9.34% |
| CTAS     | Cintas                 |   198.44 |   219.17 |    9.46% |
| UNP      | Union Pacific Corpo... |   285.78 |   315.99 |    9.56% |
| NDAQ     | Nasdaq Inc.            |    92.01 |   101.79 |    9.61% |
| DRI      | Darden Restaurants     |   207.53 |   229.76 |    9.68% |
| DIS      | Walt Disney Company... |   105.82 |   117.17 |    9.69% |
| CRM      | Salesforce             |   243.00 |   269.11 |    9.70% |
| FDX      | FedEx                  |   311.80 |   345.37 |    9.72% |
| KEY      | KeyCorp                |    21.73 |    24.07 |    9.72% |
| NSC      | Norfolk Southern Ra... |   323.30 |   358.60 |    9.84% |
| L        | Loews Corporation      |   109.08 |   121.01 |    9.86% |
| EW       | Edwards Lifesciences   |    86.77 |    96.29 |    9.89% |
| ES       | Eversource Energy      |    68.99 |    76.57 |    9.90% |
| REG      | Regency Centers        |    75.31 |    83.66 |    9.98% |
| CRL      | Charles River Labor... |   273.00 |   303.31 |    9.99% |
| DELL     | Dell Technologies      |   506.62 |   562.99 |   10.01% |
| APH      | Amphenol               |    80.25 |    89.26 |   10.09% |
| LYV      | Live Nation Enterta... |   170.08 |   189.25 |   10.13% |
| ACGL     | Arch Capital Group     |    96.20 |   107.09 |   10.17% |
| LH       | LabCorp                |   306.96 |   341.80 |   10.19% |
| SBUX     | Starbucks              |    99.22 |   110.51 |   10.22% |
| AME      | Ametek                 |   234.24 |   261.16 |   10.31% |
| SYY      | Sysco                  |    82.31 |    91.85 |   10.39% |
| FRT      | Federal Realty Inve... |   114.84 |   128.21 |   10.43% |
| TFC      | Truist Financial       |    50.33 |    56.20 |   10.44% |
| GWW      | W. W. Grainger         |  1271.49 |  1419.91 |   10.45% |
| XEL      | Xcel Energy            |    75.41 |    84.23 |   10.47% |
| ESS      | Essex Property Trust   |   271.37 |   303.35 |   10.54% |
| WTW      | Willis Towers Watson   |   315.41 |   352.79 |   10.60% |
| PKG      | Packaging Corporati... |   232.41 |   259.98 |   10.60% |
| JBHT     | J.B. Hunt              |   267.83 |   299.76 |   10.65% |
| ADP      | Automatic Data Proc... |   267.33 |   299.22 |   10.66% |
| CRWD     | CrowdStrike            |   208.86 |   233.88 |   10.70% |
| MO       | Altria                 |    68.79 |    77.06 |   10.73% |
| ETR      | Entergy                |   105.73 |   118.45 |   10.74% |
| INVH     | Invitation Homes       |    27.56 |    30.89 |   10.79% |
| EMR      | Emerson Electric       |   148.37 |   166.35 |   10.81% |
| WST      | West Pharmaceutical... |   344.25 |   386.00 |   10.82% |
| GL       | Globe Life             |   170.80 |   191.55 |   10.83% |
| D        | Dominion Energy        |    65.05 |    72.99 |   10.88% |
| SJM      | J.M. Smucker Compan... |   121.07 |   135.89 |   10.91% |
| VTRS     | Viatris                |    16.38 |    18.39 |   10.93% |
| ZBRA     | Zebra Technologies     |   344.01 |   386.23 |   10.93% |
| DLR      | Digital Realty         |   185.37 |   208.14 |   10.94% |
| CI       | Cigna                  |   280.91 |   315.47 |   10.96% |
| EQR      | Equity Residential     |    63.66 |    71.50 |   10.97% |
| VTR      | Ventas                 |    90.44 |   101.60 |   10.98% |
| MSFT     | Microsoft              |   492.44 |   553.72 |   11.07% |
| KMI      | Kinder Morgan          |    30.95 |    34.81 |   11.09% |
| DOC      | Healthpeak Properties  |    20.37 |    22.95 |   11.24% |
| DUK      | Duke Energy            |   119.37 |   134.49 |   11.24% |
| FCX      | Freeport-McMoRan       |    71.21 |    80.24 |   11.25% |
| WRB      | W. R. Berkley Corpo... |    70.05 |    78.96 |   11.28% |
| OMC      | Omnicom Group          |    79.45 |    89.57 |   11.30% |
| AEE      | Ameren                 |   104.95 |   118.32 |   11.30% |
| SNA      | Snap-on                |   374.83 |   423.02 |   11.39% |
| CHD      | Church & Dwight        |    93.94 |   106.04 |   11.41% |
| GD       | General Dynamics       |   354.25 |   400.00 |   11.44% |
| MHK      | Mohawk Industries      |   124.24 |   140.30 |   11.45% |
| GPC      | Genuine Parts Company  |   134.16 |   151.57 |   11.49% |
| CL       | Colgate-Palmolive      |    87.90 |    99.33 |   11.51% |
| KVUE     | Kenvue                 |    17.79 |    20.13 |   11.62% |
| GS       | Goldman Sachs          |  1019.77 |  1153.99 |   11.63% |
| FE       | FirstEnergy            |    46.25 |    52.34 |   11.64% |
| ICE      | Intercontinental Ex... |   155.81 |   176.59 |   11.77% |
| PAYC     | Paycom                 |   216.04 |   244.98 |   11.81% |
| MCK      | McKesson Corporation   |   880.86 |   999.00 |   11.83% |
| TROW     | T. Rowe Price          |   107.55 |   122.00 |   11.84% |
| MMM      | 3M                     |   162.86 |   184.90 |   11.92% |
| EBAY     | eBay                   |   105.03 |   119.31 |   11.97% |
| PCAR     | Paccar                 |   122.57 |   139.24 |   11.97% |
| ANET     | Arista Networks        |   188.99 |   214.89 |   12.05% |
| AFL      | Aflac                  |   114.47 |   130.22 |   12.09% |
| WEC      | WEC Energy Group       |   105.35 |   119.91 |   12.14% |
| AEP      | American Electric P... |   123.47 |   140.58 |   12.17% |
| NTAP     | NetApp                 |   183.60 |   209.06 |   12.18% |
| ECL      | Ecolab                 |   271.60 |   309.27 |   12.18% |
| PSA      | Public Storage         |   294.60 |   335.55 |   12.20% |
| ROST     | Ross Stores            |   225.48 |   257.00 |   12.26% |
| AMZN     | Amazon                 |   251.89 |   287.20 |   12.29% |
| O        | Realty Income          |    59.57 |    67.94 |   12.32% |
| PLD      | Prologis               |   134.41 |   153.35 |   12.35% |
| BALL     | Ball Corporation       |    59.74 |    68.29 |   12.52% |
| ITW      | Illinois Tool Works    |   265.20 |   303.16 |   12.52% |
| A        | Agilent Technologies   |   143.12 |   163.75 |   12.60% |
| KIM      | Kimco Realty           |    23.29 |    26.65 |   12.61% |
| RTX      | RTX Corporation        |   198.12 |   226.88 |   12.68% |
| BLK      | BlackRock              |  1062.40 |  1219.94 |   12.91% |
| CINF     | Cincinnati Financial   |   169.59 |   194.81 |   12.95% |
| SO       | Southern Company       |    87.75 |   100.84 |   12.98% |
| TT       | Trane Technologies     |   439.83 |   505.87 |   13.05% |
| PNW      | Pinnacle West          |    96.59 |   111.16 |   13.11% |
| LLY      | Lilly (Eli)            |  1123.00 |  1292.65 |   13.12% |
| AMT      | American Tower         |   172.98 |   199.13 |   13.13% |
| KEYS     | Keysight Technologies  |   325.65 |   374.96 |   13.15% |
| KHC      | Kraft Heinz            |    24.39 |    28.09 |   13.17% |
| ABNB     | Airbnb                 |   167.65 |   193.45 |   13.34% |
| GRMN     | Garmin                 |   272.20 |   314.28 |   13.39% |
| PGR      | Progressive Corpora... |   216.19 |   249.71 |   13.42% |
| WM       | Waste Management       |   214.77 |   248.13 |   13.44% |
| ZBH      | Zimmer Biomet          |    92.44 |   106.88 |   13.51% |
| CNP      | CenterPoint Energy     |    39.12 |    45.26 |   13.57% |
| DTE      | DTE Energy             |   134.34 |   155.75 |   13.75% |
| MDT      | Medtronic              |    91.62 |   106.33 |   13.83% |
| AMD      | Advanced Micro Devices |   503.60 |   584.73 |   13.87% |
| MAA      | Mid-America Apartme... |   124.48 |   144.55 |   13.88% |
| HST      | Host Hotels & Resorts  |    22.14 |    25.71 |   13.89% |
| CVS      | CVS Health             |    95.29 |   110.68 |   13.90% |
| HBAN     | Huntington Bancshares  |    16.73 |    19.46 |   14.03% |
| AIG      | American Internatio... |    75.03 |    87.29 |   14.05% |
| HPE      | Hewlett Packard Ent... |    55.22 |    64.25 |   14.05% |
| MNST     | Monster Beverage       |    43.09 |    50.17 |   14.11% |
| EXR      | Extra Space Storage    |   136.45 |   158.88 |   14.12% |
| SPG      | Simon Property Group   |   204.67 |   238.50 |   14.18% |
| T        | AT&T                   |    25.55 |    29.79 |   14.23% |
| EXC      | Exelon                 |    43.39 |    50.65 |   14.33% |
| ATO      | Atmos Energy           |   164.81 |   192.51 |   14.39% |
| ETN      | Eaton Corporation      |   409.15 |   478.00 |   14.40% |
| AMGN     | Amgen                  |   382.47 |   447.03 |   14.44% |
| CPT      | Camden Property Trust  |   102.50 |   119.81 |   14.45% |
| HLT      | Hilton Worldwide       |   306.24 |   358.00 |   14.46% |
| TDY      | Teledyne Technologies  |   596.50 |   697.67 |   14.50% |
| PG       | Procter & Gamble       |   142.97 |   167.25 |   14.52% |
| MCO      | Moody's Corporation    |   467.36 |   546.88 |   14.54% |
| LNT      | Alliant Energy         |    67.25 |    78.81 |   14.67% |
| FOXA     | Fox Corporation (Cl... |    65.18 |    76.39 |   14.67% |
| PPL      | PPL Corporation        |    34.21 |    40.11 |   14.71% |
| SWK      | Stanley Black & Decker |    89.23 |   104.68 |   14.76% |
| FOX      | Fox Corporation (Cl... |    58.06 |    68.17 |   14.84% |
| VLTO     | Veralto                |    93.45 |   109.86 |   14.94% |
| COR      | Cencora                |   320.95 |   377.54 |   14.99% |
| SYF      | Synchrony Financial    |    75.44 |    88.77 |   15.02% |
| PH       | Parker Hannifin        |   934.34 |  1099.94 |   15.06% |
| MSCI     | MSCI                   |   547.60 |   644.77 |   15.07% |
| PANW     | Palo Alto Networks     |   338.49 |   398.88 |   15.14% |
| ROK      | Rockwell Automation    |   421.37 |   497.36 |   15.28% |
| PAYX     | Paychex                |   115.18 |   135.97 |   15.29% |
| AVY      | Avery Dennison         |   168.77 |   199.54 |   15.42% |
| YUM      | Yum! Brands            |   143.89 |   170.14 |   15.43% |
| FTV      | Fortive                |    54.51 |    64.56 |   15.57% |
| AMCR     | Amcor                  |    43.00 |    50.94 |   15.59% |
| CMG      | Chipotle Mexican Grill |    36.13 |    42.82 |   15.62% |
| BKR      | Baker Hughes           |    59.40 |    70.41 |   15.64% |
| HAS      | Hasbro                 |    90.16 |   106.98 |   15.72% |
| CMS      | CMS Energy             |    67.68 |    80.36 |   15.78% |
| LIN      | Linde plc              |   461.62 |   548.20 |   15.79% |
| NI       | NiSource               |    41.42 |    49.21 |   15.83% |
