+================================================================+
| TOP MARKET CAP COMPANIES                                       |
+================================================================+
| Date: 11/09/2026 | Processed entries: 485                      |
+--------------------+----------+--------------------------------+
| Market Cap         | Symbol   | Company                        |
+--------------------+----------+--------------------------------+
|  5,272,738,725,888 | NVDA     | Nvidia                         |
|  4,766,021,713,920 | AAPL     | Apple Inc.                     |
|  4,067,676,389,376 | GOOGL    | Alphabet Inc. (Class A)        |
|  4,040,648,556,544 | GOOG     | Alphabet Inc. (Class C)        |
|  3,656,635,645,952 | MSFT     | Microsoft                      |
|  2,716,964,487,168 | AMZN     | Amazon                         |
|  1,716,677,640,192 | AVGO     | Broadcom                       |
|  1,641,561,980,928 | META     | Meta Platforms                 |
|  1,435,897,430,016 | TSLA     | Tesla Inc.                     |
|  1,103,880,126,464 | MU       | Micron Technology              |
|  1,001,425,534,976 | LLY      | Lilly (Eli)                    |
|    939,828,314,112 | JPM      | JPMorgan Chase                 |
|    841,407,725,568 | WMT      | Walmart                        |
|    822,114,451,456 | AMD      | Advanced Micro Devices         |
|    685,598,441,472 | V        | Visa Inc.                      |
|    679,411,187,712 | XOM      | ExxonMobil                     |
|    641,876,492,288 | JNJ      | Johnson & Johnson              |
|    530,302,074,880 | INTC     | Intel                          |
|    495,269,740,544 | MA       | Mastercard                     |
|    450,614,919,168 | ABBV     | AbbVie                         |
|    440,539,250,688 | ORCL     | Oracle Corporation             |
|    437,466,365,952 | BAC      | Bank of America                |
|    423,591,542,784 | CSCO     | Cisco                          |
|    417,350,713,344 | CVX      | Chevron Corporation            |
|    400,186,408,960 | COST     | Costco                         |
|    398,571,274,240 | PLTR     | Palantir Technologies          |
|    377,892,896,768 | KO       | Coca-Cola Company (The)        |
|    372,906,164,224 | LRCX     | Lam Research                   |
|    370,038,276,096 | CAT      | Caterpillar Inc.               |
|    360,301,166,592 | AMAT     | Applied Materials              |
|    357,024,432,128 | MRK      | Merck & Co.                    |
|    348,518,121,472 | UNH      | UnitedHealth Group             |
|    336,325,869,568 | GE       | GE Aerospace                   |
|    333,996,621,824 | MS       | Morgan Stanley                 |
|    332,072,484,864 | PG       | Procter & Gamble               |
|    322,115,436,544 | DELL     | Dell Technologies              |
|    316,501,065,728 | NFLX     | Netflix                        |
|    304,983,736,320 | HD       | Home Depot (The)               |
|    296,927,854,592 | GS       | Goldman Sachs                  |
|    295,778,058,240 | PM       | Philip Morris International    |
|    275,869,335,552 | PANW     | Palo Alto Networks             |
|    270,496,727,040 | WFC      | Wells Fargo                    |
|    267,017,830,400 | RTX      | RTX Corporation                |
|    246,068,248,576 | GEV      | GE Vernova                     |
|    238,358,855,680 | ANET     | Arista Networks                |
|    236,366,774,272 | TXN      | Texas Instruments              |
|    232,324,988,928 | C        | Citigroup                      |
|    231,493,959,680 | KLAC     | KLA Corporation                |
|    223,024,168,960 | TMO      | Thermo Fisher Scientific       |
|    220,478,291,968 | IBM      | IBM                            |
|    216,578,605,056 | AXP      | American Express               |
|    213,859,024,896 | CRWD     | CrowdStrike                    |
|    212,797,652,992 | LIN      | Linde plc                      |
|    207,614,132,224 | VZ       | Verizon                        |
|    206,775,517,184 | AMGN     | Amgen                          |
|    199,989,002,240 | CRM      | Salesforce                     |
|    197,893,832,704 | APH      | Amphenol                       |
|    196,087,824,384 | STX      | Seagate Technology             |
|    190,034,509,824 | TMUS     | T-Mobile US                    |
|    188,918,546,432 | QCOM     | Qualcomm                       |
|    186,663,895,040 | PEP      | PepsiCo                        |
|    185,609,601,024 | SCHW     | Charles Schwab Corporation     |
|    182,789,849,088 | DE       | Deere & Company                |
|    182,718,005,248 | DIS      | Walt Disney Company (The)      |
|    179,557,908,480 | GILD     | Gilead Sciences                |
|    179,068,698,624 | MCD      | McDonald's                     |
|    178,852,429,824 | ABT      | Abbott Laboratories            |
